album_name,danceability_mean,energy_mean,loudness_mean,speechiness_mean,acousticness_mean,instrumentalness_mean,liveness_mean,valence_mean,tempo_mean,mode_mode,key_mode,time_signature_mode,name,images
New Morning,0.50425,0.4278333333333333,-11.168416666666666,0.040275,0.62025,0.0467488249999999,0.138075,0.6008333333333333,118.5515,1,0,4,New Morning,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273be634898c4b925ad6611ac64', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02be634898c4b925ad6611ac64', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851be634898c4b925ad6611ac64', 'width': 64}]"
No Direction Home: Bootleg Volume 7 (Movie Soundtrack),0.4953571428571429,0.4820714285714285,-10.325428571428573,0.046525,0.5981971428571429,0.1301564792857143,0.3570035714285714,0.5167499999999999,120.38442857142856,1,7,4,No Direction Home: Bootleg Volume 7 (Movie Soundtrack),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27370a26639e06a441817daed5c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0270a26639e06a441817daed5c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485170a26639e06a441817daed5c', 'width': 64}]"
Oh Mercy,0.5558,0.4625,-11.7226,0.0567999999999999,0.181134,0.038932232,0.15589,0.28868,126.7855,1,1,4,Oh Mercy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735954a6441cc1d88011841d1c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025954a6441cc1d88011841d1c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515954a6441cc1d88011841d1c', 'width': 64}]"
Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),0.5305,0.2802,-15.5329,0.03648,0.6467,0.541523238,0.11433,0.4815,131.1067,1,7,4,Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736c86683d20c72e3874c11c6d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026c86683d20c72e3874c11c6d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516c86683d20c72e3874c11c6d', 'width': 64}]"
Planet Waves,0.564,0.613090909090909,-8.832545454545455,0.057390909090909,0.5527272727272727,0.0240295918181818,0.1582545454545454,0.704,124.5090909090909,1,2,4,Planet Waves,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734042ca1eaf2d769794da7930', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024042ca1eaf2d769794da7930', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514042ca1eaf2d769794da7930', 'width': 64}]"
Real Live,0.4448,0.6338,-11.6368,0.0465799999999999,0.282065,0.000171412,0.7352000000000001,0.5641,122.2763,1,7,4,Real Live,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ab74ab75ea6f4a899a877a67', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ab74ab75ea6f4a899a877a67', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ab74ab75ea6f4a899a877a67', 'width': 64}]"
Rough and Rowdy Ways,0.5402,0.22666,-17.7624,0.10382,0.7293000000000001,0.000187672,0.11128,0.32406,115.5763,1,0,4,Rough and Rowdy Ways,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273de53828a4a84a66179dcdfde', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02de53828a4a84a66179dcdfde', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851de53828a4a84a66179dcdfde', 'width': 64}]"
Saved,0.5122222222222222,0.6466666666666667,-7.74488888888889,0.0394333333333333,0.289,0.0014907777777777,0.1510222222222222,0.4852222222222222,119.44333333333331,1,0,4,Saved,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d0789bcb434ebcc1f9727ae8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d0789bcb434ebcc1f9727ae8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d0789bcb434ebcc1f9727ae8', 'width': 64}]"
Self Portrait,0.5437916666666667,0.3965416666666666,-10.487041666666666,0.0381291666666666,0.7364999999999999,0.0521206791666666,0.1752458333333333,0.589625,116.30545833333332,1,0,4,Self Portrait,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27337a4208dc0fb7b1f7d6b6b56', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0237a4208dc0fb7b1f7d6b6b56', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485137a4208dc0fb7b1f7d6b6b56', 'width': 64}]"
Shadow Kingdom,0.5151428571428571,0.3705,-11.465928571428572,0.0533214285714285,0.6752142857142857,0.0043098907142857,0.3305714285714285,0.3966428571428571,123.477,1,2,4,Shadow Kingdom,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ce38c202bc194b2256642678', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ce38c202bc194b2256642678', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ce38c202bc194b2256642678', 'width': 64}]"
